  1   51.8738   61.0791   1.11935   0.98769   1.29707   1.41539   6.90000  7.50000   100.0   100.00    5.66682    6.34308    2.16667
  2   33.1756   41.1291   1.08198   1.36358   1.48646   1.58374   5.00000  5.50000     85.0     85.80    2.87790    2.84598    1.50333
  3   31.9893   36.2840   1.61491   1.87296   1.81393   2.31362   3.36305  3.79108     77.3     78.02    2.24909    2.55623    3.96000
  4   41.7458   41.6469   0.75047   1.63642   1.88042   1.93998   3.35593  3.60666     78.5     80.70    2.14185    2.42824    3.46333
  5   31.1167   38.4740   0.68643   1.79156   1.49163   1.73126   3.49723  3.72026     77.7     79.30    2.07068    2.39708    4.69000
  6   31.0178   27.5956   0.34095   0.90468   1.00658   1.32281   2.91768  3.07965     74.0     75.88    1.36872    1.56962    9.90000
  7   37.6621   42.3315   0.73090   1.02828   1.12518   1.32743   2.66027  2.84735     61.5     64.54    1.19376    1.40253    4.26667
  8   27.0940   42.0342   0.55360   0.95908   1.42857   1.70861   3.31736  3.57562     67.2     69.20    1.51695    1.77657    4.29667
  9   32.2093   54.6802   2.69360   3.08960   1.28480   0.96552   3.66293  4.20308     46.6     48.64    1.80198    2.02953    4.71333
10   43.4213   39.0532   0.90312   0.85131   2.23421   2.60071   3.76021  3.92846     70.6     72.64    1.83324    2.09688    2.93667
11   38.5856   36.3622   0.51414   0.79692   1.46879   1.58527   3.00724  3.33700     66.5     68.34    1.53068    1.76315    2.76667
12   46.4418   46.5008   0.48699   0.74673   1.09483   1.29150   4.42739  4.57508     84.6     85.60    2.91396    3.17357    1.74667
13   44.4685   34.7310   0.43317   0.82515   0.86207   1.29821   4.19961  4.37115     61.0     63.08    1.41281    1.63787    2.44000
14   42.0000   52.0000   0.94555   0.98671   1.78946   1.73347   5.23751  5.74160     89.4     89.76    3.83372    4.15075    2.74333
15   30.1758   38.5762   1.52050   1.42976   1.55481   1.65316   2.86798  3.06138     70.4     72.36    1.79876    2.03604    4.90000
16   25.8102   25.3372   0.90730   1.26616   1.99307   1.81612   2.59051  2.80441     59.8     62.40    1.27054    1.48043    5.84000
17   35.8299   34.9964   0.96787   1.61663   1.92817   2.08488   3.14664  3.71182     64.1     66.30    2.25993    2.54600    4.57333
18   30.0489   32.2150   0.83969   1.16189   1.65385   2.42172   3.34441  3.53515     78.6     80.04    2.31147    2.56711    4.97000
19   28.3367   31.2439   1.27922   1.82635   1.69205   2.05882   3.24455  3.51153     82.5     84.54    2.21652    2.53799    3.31667
20   35.0141   41.5519   1.68776   1.94037   2.74643   2.86802   2.90043  3.22010     76.4     77.84    2.06815    2.38370    3.54667
21   43.2480   38.0538   1.67883   1.92024   1.87062   2.54887   3.60944  3.83642     73.6     75.40    2.51512    2.80155    3.74000
22   30.5174   31.7531   2.18855   2.32129   3.82341   3.55954   3.08203  3.39800     67.8     69.96    2.13638    2.39525    4.54000
23   33.0126   50.0718   2.20103   2.18941   2.59414   2.32153   3.12793  3.50701     48.9     51.66    1.84564    2.05618    3.23333
24   19.1949   26.7286   2.07715   2.62658   2.63447   2.52625   2.24655  2.61300     58.8     61.52    1.32589    1.52541    7.90333
25   19.5969   31.9515   4.50751   4.72199   6.12789   5.71180   2.80208  2.96848     70.6     72.76    1.67735    1.89438    4.26000
